UID          PID    PPID  C STIME TTY          TIME CMD
champus+   25640     626  0 Nov05 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
champus+   25649     626  0 Nov05 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
champus+   25666     626  0 Nov05 ?        00:00:00 /usr/bin/gnome-keyring-daemon --start --components=pkcs11
champus+   25677     626  0 Nov05 ?        00:28:57 /usr/bin/gnome-shell
champus+   25701     626  0 Nov05 ?        00:00:00 /snap/snapd-desktop-integration/315/usr/bin/snapd-desktop-integration
champus+   25751   25701  0 Nov05 ?        00:03:40 /snap/snapd-desktop-integration/315/usr/bin/snapd-desktop-integration
champus+   25754     626  0 Nov05 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
champus+   25760     626  0 Nov05 ?        00:00:00 /usr/libexec/evolution-source-registry
champus+   25778     626  0 Nov05 ?        00:00:00 /usr/libexec/goa-daemon
champus+   25791     626  0 Nov05 ?        00:00:00 /usr/libexec/evolution-calendar-factory
champus+   25794     626  0 Nov05 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
champus+   25808     626  0 Nov05 ?        00:00:01 /usr/libexec/goa-identity-service
champus+   25809     626  0 Nov05 ?        00:02:54 /usr/libexec/gvfs-afc-volume-monitor
champus+   25818     626  0 Nov05 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
champus+   25825     626  0 Nov05 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
champus+   25834     626  0 Nov05 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
champus+   25835     626  0 Nov05 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
champus+   25851     626  0 Nov05 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
champus+   25862     626  0 Nov05 ?        00:00:00 /usr/libexec/gsd-a11y-settings
champus+   25867     626  0 Nov05 ?        00:00:28 /usr/libexec/gsd-color
champus+   25869     626  0 Nov05 ?        00:00:00 /usr/libexec/gsd-datetime
champus+   25874     626  0 Nov05 ?        00:02:37 /usr/libexec/gsd-housekeeping
champus+   25876     626  0 Nov05 ?        00:00:00 /usr/libexec/gsd-keyboard
champus+   25877     626  0 Nov05 ?        00:00:00 /usr/libexec/gsd-media-keys
champus+   25881     626  0 Nov05 ?        00:00:05 /usr/libexec/gsd-power
champus+   25882     626  0 Nov05 ?        00:00:00 /usr/libexec/gsd-print-notifications
champus+   25887     626  0 Nov05 ?        00:00:00 /usr/libexec/gsd-rfkill
champus+   25888     626  0 Nov05 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
champus+   25891     626  0 Nov05 ?        00:00:01 /usr/libexec/gsd-sharing
champus+   25892     626  0 Nov05 ?        00:00:00 /usr/libexec/gsd-smartcard
champus+   25896     626  0 Nov05 ?        00:00:00 /usr/libexec/gsd-sound
champus+   25899     626  0 Nov05 ?        00:00:00 /usr/libexec/gsd-wacom
champus+   25900   25640  0 Nov05 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
champus+   25901     626  0 Nov05 ?        00:00:00 /usr/libexec/gsd-xsettings
